organization_id, org_name, site_id, site_name, latitude, longitude, elevation, measured_on, air temp dailies:userid,air temp dailies:measured at,air temp dailies:solar measured at,air temp dailies:solar noon at,air temp dailies:current temp (deg C),air temp dailies:minimum temp (deg C),air temp dailies:maximum temp (deg C),air temp dailies:comments,air temp dailies:globe teams,aerosols:userid,aerosols:measured at,aerosols:measured at date,aerosols:measured at time,aerosols:solar measured at,aerosols:solar noon at,aerosols:observed sky color,aerosols:observed sky clarity,aerosols:associated remote sensor,aerosols:remote sensor overflight time,aerosols:remote sensor maximum elevation angle (deg),aerosols:aerosol photometer type,aerosols:aerosol photometer serial number,aerosols:aot 505 measured,aerosols:aot 625,aerosols:aot 465,aerosols:aot 540,aerosols:aot 619,aerosols:aot misc,aerosols:aot 505 calculated,aerosols:aot 505 all,aerosols:transmission percent at 505nm,aerosols:transmission percent at 625nm,aerosols:transmission percent at 465nm,aerosols:transmission percent at 540nm,aerosols:transmission percent at 619nm,aerosols:comments,aerosols:globe teams,barometric pressures:userid,barometric pressures:pressure method,barometric pressures:pressure,barometric pressures:sea level pressure,barometric pressures:measured at,barometric pressures:solar measured at,barometric pressures:comments,barometric pressures:globe teams,sky conditions:data source,sky conditions:observation id,sky conditions:userid,sky conditions:measured at,sky conditions:solar measured at,sky conditions:cloud cover,sky conditions:sky color,sky conditions:sky clarity,sky conditions:cirrus,sky conditions:cirrocumulus,sky conditions:cirrostratus,sky conditions:altostratus,sky conditions:altocumulus,sky conditions:cumulus,sky conditions:nimbostratus,sky conditions:stratus,sky conditions:stratocumulus,sky conditions:cumulonimbus,sky conditions:fog,sky conditions:smoke,sky conditions:haze,sky conditions:volcanic ash,sky conditions:dust,sky conditions:sand,sky conditions:spray,sky conditions:heavy rain,sky conditions:heavy snow,sky conditions:blowing snow,sky conditions:contrail cover deprecated,sky conditions:short lived contrails,sky conditions:spreading contrails,sky conditions:non spreading contrails,sky conditions:cloud cover low,sky conditions:opacity low,sky conditions:cloud cover mid,sky conditions:opacity mid,sky conditions:cloud cover high,sky conditions:opacity high,sky conditions:snow ice,sky conditions:standing water,sky conditions:muddy,sky conditions:dry ground,sky conditions:leaves on trees,sky conditions:raining snowing,sky conditions:north photo url,sky conditions:north caption,sky conditions:east photo url,sky conditions:east caption,sky conditions:south photo url,sky conditions:south caption,sky conditions:west photo url,sky conditions:west caption,sky conditions:upward photo url,sky conditions:upward caption,sky conditions:downward photo url,sky conditions:downward caption,sky conditions:is globe trained,sky conditions:is citizen science,sky conditions:comments,sky conditions:measurement latitude,sky conditions:measurement longitude,sky conditions:measurement elevation,sky conditions:globe teams,precipitations:userid,precipitations:measured at,precipitations:days accumulated,precipitations:solar noon at,precipitations:solar measured at,precipitations:snowfall accumulation,precipitations:snowfall accumulation flag,precipitations:liquid accumulation,precipitations:liquid accumulation flag,precipitations:ph,precipitations:ph method,precipitations:occurrence type,precipitations:comments,precipitations:vis rain depth,precipitations:vis snow depth,precipitations:vis total liquid equivalent,precipitations:globe teams,humidities:userid,humidities:measured at,humidities:solar measured at,humidities:solar noon at,humidities:relative humidity (%),humidities:dewpoint,humidities:comments,humidities:globe teams,land covers:land cover id,land covers:data source,land covers:userid,land covers:measured at,land covers:muc code,land covers:muc details,land covers:muc description,land covers:field notes,land covers:snow ice,land covers:standing water,land covers:muddy,land covers:dry ground,land covers:leaves on trees,land covers:raining snowing,land covers:north classifications,land covers:east classifications,land covers:south classifications,land covers:west classifications,land covers:north photo url,land covers:north caption,land covers:north extra data,land covers:east photo url,land covers:east caption,land covers:east extra data,land covers:south photo url,land covers:south caption,land covers:south extra data,land covers:west photo url,land covers:west caption,land covers:west extra data,land covers:upward photo url,land covers:upward caption,land covers:upward extra data,land covers:downward photo url,land covers:downward caption,land covers:downward extra data,land covers:measurement latitude,land covers:measurement longitude,land covers:measurement elevation,land covers:globe teams,land covers:location method,land covers:location accuracy (m),land covers:feature1 photo url,land covers:feature1 caption,land covers:feature1 extra data,land covers:feature2 photo url,land covers:feature2 caption,land covers:feature2 extra data,land covers:feature3 photo url,land covers:feature3 caption,land covers:feature3 extra data,land covers:feature4 photo url,land covers:feature4 caption,land covers:feature4 extra data
126054830,CETis 24 ,345934,13RFJ725513,25.769646,-103.279842,1111.0,2024-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLOBE Observer App,116-345934-126054814-202404081634,126054814.0,2024-04-08T16:34:00,2024-04-08T09:38:00,overcast,,,,,true,true,,,,,true,,,,,,,,,,,,,0,0,0,overcast,opaque,overcast,opaque,overcast,opaque,False,False,False,True,True,False,https://data.globe.gov/system/photos/2024/04/08/3862133/original.jpg,,https://data.globe.gov/system/photos/2024/04/08/3862141/original.jpg,,,,,,https://data.globe.gov/system/photos/2024/04/08/3862150/original.jpg,,https://data.globe.gov/system/photos/2024/04/08/3862157/original.jpg,,False,true,,25.7701,-103.2791,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17323460,Canada Citizen Science,335448,13QDC741846,20.660547,-105.248651,3.8,2023-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLOBE Observer App,116-335448-117439834-202312231900,117439834.0,2023-12-23T19:00:00,2023-12-23T11:59:00,overcast,,,,,,,,true,,,,,,,,,,,,,,,,0,0,0,broken,opaque,,,,,False,False,False,True,True,False,https://data.globe.gov/system/photos/2023/12/23/3706808/original.jpg,,https://data.globe.gov/system/photos/2023/12/23/3706810/original.jpg,,https://data.globe.gov/system/photos/2023/12/23/3706809/original.jpg,,https://data.globe.gov/system/photos/2023/12/23/3706811/original.jpg,,https://data.globe.gov/system/photos/2023/12/23/3706812/original.jpg,,https://data.globe.gov/system/photos/2023/12/23/3706813/original.jpg,,False,true,,20.6607,-105.2484,0.0,Univ of Lethbridge GEOG Field Techniques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125766163,Centro de Estudios Bhakti,346241,12QXL326503,23.055949,-109.705651,54.4,2024-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLOBE Observer App,116-346241-125766147-202404081723,125766147.0,2024-04-08T17:23:00,2024-04-08T10:02:00,broken,,,true,true,true,true,true,,,true,true,true,,,,,,,,,,,,0,1,0,broken,opaque,broken,translucent,broken,translucent,False,False,False,True,True,False,https://data.globe.gov/system/photos/2024/04/08/3866294/original.jpg,,https://data.globe.gov/system/photos/2024/04/08/3866296/original.jpg,,https://data.globe.gov/system/photos/2024/04/08/3866295/original.jpg,,https://data.globe.gov/system/photos/2024/04/08/3866297/original.jpg,,https://data.globe.gov/system/photos/2024/04/08/3866298/original.jpg,,https://data.globe.gov/system/photos/2024/04/08/3866299/original.jpg,,False,true,,23.0562,-109.7051,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17465690,Costa Rica Citizen Science,348264,13RFJ615270,25.551552,-103.392442,1120.7,2024-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLOBE Observer App,116-348264-124503934-202404082116,124503934.0,2024-04-08T21:16:00,2024-04-08T14:20:00,broken,,,true,true,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,broken,translucent,False,True,True,True,True,False,https://data.globe.gov/system/photos/2024/04/08/3894333/original.jpg,,https://data.globe.gov/system/photos/2024/04/08/3894335/original.jpg,,https://data.globe.gov/system/photos/2024/04/08/3894334/original.jpg,,https://data.globe.gov/system/photos/2024/04/08/3894336/original.jpg,,https://data.globe.gov/system/photos/2024/04/08/3894337/original.jpg,,https://data.globe.gov/system/photos/2024/04/08/3894338/original.jpg,,False,true,,25.5521,-103.3916,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,70403.0,GLOBE Observer App,124503934.0,2024-04-08T18:00:00,,,,(none),False,True,True,True,True,False,,,,,https://data.globe.gov/system/photos/2024/04/08/3894279/original.jpg,,,https://data.globe.gov/system/photos/2024/04/08/3894283/original.jpg,,,https://data.globe.gov/system/photos/2024/04/08/3894289/original.jpg,,,https://data.globe.gov/system/photos/2024/04/08/3894294/original.jpg,,,https://data.globe.gov/system/photos/2024/04/08/3894295/original.jpg,,,https://data.globe.gov/system/photos/2024/04/08/3894296/original.jpg,,,25.5482,-103.3914,1121.1,,automatic,51.0,,,,,,,,,,,,
53067144,Earth Networks GLOBE v-School,155701,EPCC - Valle Verde,31.7,-106.4,1137.0,2023-09-23,,2023-09-23T18:59:30,2023-09-23T12:02:00,2023-09-23T18:58:00,33.5,21.8,34.5,air temp subday rollup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8294323.0,,887.4,1017.0,2023-09-23T19:30:00,2023-09-23T12:33:00,Earth Networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8294323.0,2023-09-23T18:58:00,1,2023-09-23T18:58:00,2023-09-23T12:01:00,,,0.0,,,,no occurrence,precipitation rain sub day rollup,0.0,0.0,0.0,,8294323.0,2023-09-23T19:30:00,2023-09-23T12:33:00,2023-09-23T18:58:00,15.4,4.2,Earth Networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56877429,El Paso Community College (GLIDKWLP),351878,13RCR655096,31.713897,-106.419498,1126.0,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLOBE Observer App,116-351878-123154226-202402290135,123154226.0,2024-02-29T01:35:00,2024-02-28T18:14:00,overcast,,,,,True,True,,,,,True,,,,,,,,,,,,,0.0,1.0,0.0,overcast,opaque,overcast,opaque,overcast,opaque,False,False,True,False,False,True,,,,,,,,,,,,,False,True,,31.7145,-106.4194,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318480,Esc. Sec. Tec. No. 120,333305,14QMG804474,19.420802,-99.186698,2259.9,2023-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLOBE Observer App,116-333305-31471160-202310191932,31471160.0,2023-10-19T19:32:00,2023-10-19T13:12:00,obscured,light blue,unusually clear,,,,,,,,,,,,,True,,,,,,,,,0.0,0.0,0.0,,,,,,,False,False,False,True,True,False,https://data.globe.gov/system/photos/2023/10/19/3669982/original.jpg,,https://data.globe.gov/system/photos/2023/10/19/3669984/original.jpg,,https://data.globe.gov/system/photos/2023/10/19/3669983/original.jpg,,https://data.globe.gov/system/photos/2023/10/19/3669985/original.jpg,,https://data.globe.gov/system/photos/2023/11/25/3670009/original.jpg,,https://data.globe.gov/system/photos/2023/10/19/3669986/original.jpg,,True,True,,19.421,-99.1864,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221379,Escuela Preparatoria Oficial de Irapuato,334335,ENMSI PLAZA CENTRO,20.6809,-101.5267,1724.0,2023-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3497792.0,,1026.6,1253.9,2023-12-07T17:46:00,2023-12-07T11:09:00,,,GLOBE Observer App,883-334335-3497792-202312071746,3497792.0,2023-12-07T17:46:00,2023-12-07T11:09:00,overcast,blue,clear,,True,,,True,True,,,,,,,,,,,,,,,,0.0,0.0,0.0,scattered,opaque,scattered,opaque,overcast,opaque,False,True,True,False,True,True,https://data.globe.gov/system/photos/2023/12/07/3687918/original.jpeg,,https://data.globe.gov/system/photos/2023/12/07/3687920/original.jpeg,,https://data.globe.gov/system/photos/2023/12/07/3687919/original.jpeg,,https://data.globe.gov/system/photos/2023/12/07/3687921/original.jpeg,,https://data.globe.gov/system/photos/2023/12/07/3687922/original.jpeg,,https://data.globe.gov/system/photos/2023/12/07/3687923/original.jpeg,,True,False,Cielo mayormente nublado con cúmulos dispersos.,,,,,3497792.0,2023-12-07T17:46:00,2.0,2023-12-07T18:37:00,2023-12-07T11:09:00,,,15.8,,5.0,paper,rain,lluvia acida,,,,,3497792.0,2023-12-07T17:46:00,2023-12-07T11:09:00,2023-12-07T18:37:00,94.0,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125784045,Escuela Primaria Miguel Hidalgo/Eco Museo Comunitario La Casa del Alto/Bosque a Salvo IAP ,344850,13RBH586477,24.825147,-107.388417,46.3,2024-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLOBE Observer App,116-344850-125784024-202404061352,125784024.0,2024-04-06T13:52:00,2024-04-06T06:39:00,overcast,deep blue,clear,,,True,,True,,,,,,,,,,,,,,,,,0.0,0.0,0.0,clear,,clear,translucent,clear,translucent,False,False,False,True,True,False,https://data.globe.gov/system/photos/2024/04/06/3853705/original.jpg,,https://data.globe.gov/system/photos/2024/04/06/3853707/original.jpg,,https://data.globe.gov/system/photos/2024/04/06/3853706/original.jpg,,https://data.globe.gov/system/photos/2024/04/06/3853708/original.jpg,,https://data.globe.gov/system/photos/2024/04/06/3853709/original.jpg,,https://data.globe.gov/system/photos/2024/04/06/3853710/original.jpg,,False,True,,24.8259,-107.3884,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,70528.0,GLOBE Observer App,125784024.0,2024-04-11T13:31:00,,,,Parque,False,False,False,True,True,False,,,,,https://data.globe.gov/system/photos/2024/04/11/3902618/original.jpg,,,https://data.globe.gov/system/photos/2024/04/11/3902619/original.jpg,,,https://data.globe.gov/system/photos/2024/04/11/3902620/original.jpg,,,https://data.globe.gov/system/photos/2024/04/11/3902621/original.jpg,,,https://data.globe.gov/system/photos/2024/04/11/3902622/original.jpg,,,https://data.globe.gov/system/photos/2024/04/11/3902623/original.jpg,,,24.8279,-107.3867,51.5,,automatic,16.0,,,,,,,,,,,,
115850563,Escuela Secundaria 78 República de Paraguay,330406,14QMG804474,19.420802,-99.186698,2259.9,2023-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLOBE Observer App,116-330406-115850545-202310191926,115850545.0,2023-10-19T19:26:00,2023-10-19T13:06:00,overcast,,,,,True,True,,,True,,,True,,,,,,,,,,,,0.0,0.0,0.0,overcast,translucent,overcast,opaque,overcast,opaque,False,False,False,True,True,False,https://data.globe.gov/system/photos/2023/10/19/3618755/original.jpg,,https://data.globe.gov/system/photos/2023/10/19/3618757/original.jpg,,https://data.globe.gov/system/photos/2023/10/19/3618756/original.jpg,,https://data.globe.gov/system/photos/2023/10/19/3618758/original.jpg,,https://data.globe.gov/system/photos/2023/10/19/3618759/original.jpg,,https://data.globe.gov/system/photos/2023/10/19/3618760/original.jpg,,False,True,,19.4212,-99.1864,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115848657,Escuela Secundaria Técnica No. 75 “Ignacio Ramírez”,330169,14QMG858476,19.422656,-99.135262,2229.4,2023-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLOBE Observer App,116-330169-115848640-202310172233,115848640.0,2023-10-17T22:33:00,2023-10-17T16:13:00,overcast,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,True,False,https://data.globe.gov/system/photos/2023/10/17/3615235/original.jpg,,https://data.globe.gov/system/photos/2023/10/17/3615237/original.jpg,,https://data.globe.gov/system/photos/2023/10/17/3615236/original.jpg,,https://data.globe.gov/system/photos/2023/10/17/3615238/original.jpg,,https://data.globe.gov/system/photos/2023/10/17/3615239/original.jpg,,https://data.globe.gov/system/photos/2023/10/17/3615240/original.jpg,,False,True,,19.4235,-99.1347,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126010322,Escuela primaria Lázaro Cárdenas ,347482,13RFH318514,24.871947,-103.695304,1588.3,2024-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLOBE Observer App,116-347482-126010306-202404081400,126010306.0,2024-04-08T14:00:00,2024-04-08T07:03:00,scattered,blue,somewhat hazy,,True,,,,,,True,,,,,,,,,,,,,,0.0,2.0,0.0,,translucent,broken,translucent,broken,translucent,False,False,False,True,True,False,https://data.globe.gov/system/photos/2024/04/08/3872438/original.jpg,,,,https://data.globe.gov/system/photos/2024/04/08/3872530/original.jpg,,,,,,,,False,True,,24.872,-103.6949,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125866466,Escuela secundaria técnica 21 ,346834,11SNR133967,32.507506,-116.858407,218.5,2024-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLOBE Observer App,116-346834-125866451-202404081801,125866451.0,2024-04-08T18:01:00,2024-04-08T10:11:00,none,blue,somewhat hazy,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,False,False,False,True,True,False,,,,,,,,,,,,,False,True,,32.5076,-116.8584,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122163,Facultad de Estudios Superiores Cuautitlan,9116,Estacion Meteorologica Almaraz:ATM-03,19.69271,-99.19354,2279.1,2023-09-23,2997112.0,2023-09-23T18:00:00,2023-09-23T11:32:00,2023-09-23T18:29:00,24.8,9.6,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2997112.0,,786.0,1036.0,2023-09-23T18:00:00,2023-09-23T11:32:00,,,GLOBE Data Entry Web Forms,150-9116-2997112-202309231800,2997112.0,2023-09-23T18:00:00,2023-09-23T11:32:00,isolated,blue,clear,True,,,True,True,True,True,True,True,,,,,,,,,,,,,,,,clear,opaque,isolated,translucent,broken,translucent,False,False,False,True,True,False,,,,,,,,,,,,,True,False,,,,,,2997112.0,2023-09-23T18:00:00,1.0,2023-09-23T18:29:00,2023-09-23T11:32:00,,,0.0,,6.6,meter,no occurrence,Caída de granizo y lluvia muy intensa registradas la tarde el 25 de julio de 2024..,0.0,0.0,0.0,,2997112.0,2023-09-23T18:00:00,2023-09-23T11:32:00,2023-09-23T18:29:00,47.2,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113673247,Facultad de biología ,330233,14QKG691784,19.687533,-101.20261,1905.0,2023-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLOBE Observer App,116-330233-113673231-202310041330,113673231.0,2023-10-04T13:30:00,2023-10-04T06:58:00,overcast,,,,,True,True,,,True,True,,,,,,,,,,,,,,0.0,0.0,0.0,overcast,opaque,overcast,opaque,overcast,,False,False,False,False,True,False,https://data.globe.gov/system/photos/2023/10/04/3616282/original.jpg,,https://data.globe.gov/system/photos/2023/10/04/3616284/original.jpg,,https://data.globe.gov/system/photos/2023/10/04/3616283/original.jpg,,https://data.globe.gov/system/photos/2023/10/04/3616285/original.jpg,,https://data.globe.gov/system/photos/2023/10/04/3616286/original.jpg,,https://data.globe.gov/system/photos/2023/10/04/3616287/original.jpg,,False,True,,19.6883,-101.2019,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10532858,GLOBE Implementation Office GLOBE v-School,345923,13RFJ570246,25.530372,-103.437502,1126.0,2024-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLOBE Observer App,116-345923-125902647-202404081818,125902647.0,2024-04-08T18:18:00,2024-04-08T11:22:00,overcast,,,True,True,True,True,True,True,,True,True,True,,,,,,,,,,,,0.0,2.0,2.0,overcast,translucent,overcast,translucent,overcast,translucent,False,False,False,True,True,False,https://data.globe.gov/system/photos/2024/04/08/3869176/original.jpg,,https://data.globe.gov/system/photos/2024/04/08/3869178/original.jpg,,https://data.globe.gov/system/photos/2024/04/08/3869177/original.jpg,,https://data.globe.gov/system/photos/2024/04/08/3869179/original.jpg,,https://data.globe.gov/system/photos/2024/04/08/3869180/original.jpg,,https://data.globe.gov/system/photos/2024/04/08/3869181/original.jpg,,False,True,,25.5312,-103.4367,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125838711,INSTITUTO PIONEROS BICULTURAL ,345577,12RXR013419,27.496972,-109.974472,32.1,2024-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLOBE Observer App,116-345577-125838693-202404081536,125838693.0,2024-04-08T15:36:00,2024-04-08T08:14:00,none,milky,clear,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,False,False,False,True,True,False,https://data.globe.gov/system/photos/2024/04/08/3859669/original.jpg,Cielo despejado,https://data.globe.gov/system/photos/2024/04/08/3859671/original.jpg,Cielo despejado,https://data.globe.gov/system/photos/2024/04/08/3859670/original.jpg,Cielo despejado,https://data.globe.gov/system/photos/2024/04/08/3859672/original.jpg,Cielo despejado,https://data.globe.gov/system/photos/2024/04/08/3859673/original.jpg,Cielo despejado,https://data.globe.gov/system/photos/2024/04/08/3859674/original.jpg,Suelo seco,False,True,,27.4972,-109.9737,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
